2.331,2.1385,0
2.8298,2.7141,0
2.8962,3.6257,0
3.5498,2.8554,0
3.5928,3.1997,0
3.0448,3.4563,0
2.9213,3.6425,0
3.5564,3.521,0
3.7746,2.0143,0
3.3498,2.8405,0
3.601,2.9263,0
3.8782,2.111,0
2.0813,3.0829,0
3.7513,3.2155,0
2.5531,3.6569,0
2.9515,3.8836,0
3.5935,2.2563,0
3.4345,2.4609,0
2.2943,3.3183,0
3.3175,2.2649,0
2.331,2.1385,0
2.8298,2.7141,0
2.8962,3.6257,0
3.5498,2.8554,0
3.5928,3.1997,0
3.0448,3.4563,0
2.9213,3.6425,0
3.5564,3.521,0
3.7746,2.0143,0
3.3498,2.8405,0
3.601,2.9263,0
3.8782,2.111,0
2.0813,3.0829,0
3.7513,3.2155,0
2.5531,3.6569,0
2.9515,3.8836,0
3.5935,2.2563,0
3.4345,2.4609,0
2.2943,3.3183,0
3.3175,2.2649,0
